"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.781082050E-1,-8.858546615E-2,5.746084079E-2,9.878476143E0,9.879040441E0
7.831156690E-1,-8.140286058E-2,5.027823523E-2,9.878476143E0,9.878939479E0
7.881187500E-1,-7.422025502E-2,5.027823523E-2,9.876082420E0,9.876489281E0
7.931236000E-1,-8.619125932E-2,5.506663769E-2,9.890447617E0,9.890976460E0
7.980968330E-1,-8.379705995E-2,3.830722719E-2,9.873687744E0,9.874117634E0
8.031049140E-1,-7.900865376E-2,5.267243832E-2,9.883264542E0,9.883720694E0
8.081070710E-1,-8.140286058E-2,5.267243832E-2,9.878476143E0,9.878951954E0
8.131122280E-1,-8.140286058E-2,4.788403213E-2,9.878476143E0,9.878927584E0
8.181171550E-1,-8.619125932E-2,5.746084079E-2,9.876082420E0,9.876625672E0
8.231242350E-1,-7.661445439E-2,4.548983276E-2,9.878476143E0,9.878877973E0
8.280960070E-1,-8.140286058E-2,5.746084079E-2,9.883264542E0,9.883766801E0
8.331014720E-1,-8.858546615E-2,5.506663769E-2,9.883264542E0,9.883814938E0
8.381057830E-1,-7.661445439E-2,4.309562966E-2,9.873687744E0,9.874079029E0
8.431128630E-1,-7.422025502E-2,5.985504389E-2,9.880870819E0,9.881330852E0
8.481168660E-1,-8.379705995E-2,4.548983276E-2,9.878476143E0,9.878936288E0
8.531208700E-1,-8.379705995E-2,5.027823523E-2,9.883264542E0,9.883747662E0
8.581270270E-1,-8.619125932E-2,4.548983276E-2,9.873687744E0,9.874168721E0
8.631024920E-1,-8.379705995E-2,4.309562966E-2,9.871294022E0,9.871743759E0
8.681052640E-1,-7.900865376E-2,5.985504389E-2,9.876082420E0,9.876579821E0
8.731088830E-1,-8.379705995E-2,5.746084079E-2,9.878476143E0,9.878998664E0
8.781157330E-1,-8.140286058E-2,5.027823523E-2,9.888052940E0,9.888515828E0
8.831221200E-1,-7.422025502E-2,3.830722719E-2,9.883264542E0,9.883617460E0
8.881252010E-1,-8.379705995E-2,4.309562966E-2,9.873687744E0,9.874137372E0
8.930984350E-1,-7.661445439E-2,5.746084079E-2,9.883264542E0,9.883728523E0
8.981033610E-1,-7.661445439E-2,4.548983276E-2,9.880870819E0,9.881272552E0
9.031114410E-1,-7.661445439E-2,4.788403213E-2,9.883264542E0,9.883677486E0
9.081135220E-1,-6.943184882E-2,5.267243832E-2,9.871294022E0,9.871678724E0
9.131187560E-1,-9.097966552E-2,5.027823523E-2,9.880870819E0,9.881417578E0
9.181230660E-1,-7.661445439E-2,5.027823523E-2,9.883264542E0,9.883689376E0
9.231299170E-1,-8.379705995E-2,5.027823523E-2,9.880870819E0,9.881354057E0
9.281016120E-1,-8.140286058E-2,5.985504389E-2,9.876082420E0,9.876599264E0
9.331068460E-1,-8.858546615E-2,5.027823523E-2,9.876082420E0,9.876607680E0
9.381111570E-1,-7.422025502E-2,5.506663769E-2,9.885659218E0,9.886091197E0
9.431200830E-1,-7.661445439E-2,5.027823523E-2,9.888052940E0,9.888477569E0
9.481225480E-1,-8.619125932E-2,5.506663769E-2,9.880870819E0,9.881400175E0
9.531277050E-1,-8.140286058E-2,5.027823523E-2,9.883264542E0,9.883727653E0
9.581013240E-1,-8.619125932E-2,4.548983276E-2,9.871294022E0,9.871775115E0
9.631087120E-1,-9.097966552E-2,5.506663769E-2,9.880870819E0,9.881443102E0
9.681120230E-1,-7.661445439E-2,5.506663769E-2,9.888052940E0,9.888503075E0
9.731170270E-1,-7.900865376E-2,4.548983276E-2,9.876082420E0,9.876503210E0
9.781210300E-1,-7.422025502E-2,5.027823523E-2,9.878476143E0,9.878882905E0
9.831274940E-1,-7.661445439E-2,4.309562966E-2,9.883264542E0,9.883655448E0
9.881000360E-1,-8.858546615E-2,5.985504389E-2,9.876082420E0,9.876661075E0
9.931050400E-1,-7.661445439E-2,5.267243832E-2,9.885659218E0,9.886096415E0
9.981096580E-1,-8.140286058E-2,5.027823523E-2,9.878476143E0,9.878939479E0
1.003115738E0,-7.900865376E-2,5.027823523E-2,9.876082420E0,9.876526426E0
1.008119511E0,-8.379705995E-2,4.788403213E-2,9.885659218E0,9.886130335E0
1.013124745E0,-8.858546615E-2,5.746084079E-2,9.876082420E0,9.876646855E0
1.018098825E0,-7.661445439E-2,4.788403213E-2,9.883264542E0,9.883677486E0
1.023106520E0,-8.379705995E-2,5.267243832E-2,9.876082420E0,9.876578370E0
1.028109601E0,-7.661445439E-2,5.267243832E-2,9.890447617E0,9.890884602E0
1.033115143E0,-8.379705995E-2,4.788403213E-2,9.876082420E0,9.876553994E0
1.038117915E0,-8.379705995E-2,4.788403213E-2,9.885659218E0,9.886130335E0
1.043125304E0,-8.379705995E-2,4.788403213E-2,9.878476143E0,9.878947603E0
1.048098845E0,-8.140286058E-2,5.985504389E-2,9.871294022E0,9.871811116E0
1.053103233E0,-8.619125932E-2,5.746084079E-2,9.883264542E0,9.883807398E0
1.058106929E0,-7.661445439E-2,4.548983276E-2,9.883264542E0,9.883666177E0
1.063114624E0,-9.097966552E-2,5.985504389E-2,9.878476143E0,9.879076416E0
1.068117627E0,-7.900865376E-2,4.788403213E-2,9.885659218E0,9.886090907E0
1.073122630E0,-7.182604820E-2,5.267243832E-2,9.873687744E0,9.874089479E0
1.078127788E0,-9.097966552E-2,4.548983276E-2,9.873687744E0,9.874211680E0
1.083103791E0,-8.140286058E-2,5.506663769E-2,9.883264542E0,9.883753172E0
1.088107794E0,-7.900865376E-2,5.027823523E-2,9.885659218E0,9.886102793E0
1.093111183E0,-8.140286058E-2,5.027823523E-2,9.873687744E0,9.874151305E0
1.098115570E0,-8.858546615E-2,5.027823523E-2,9.871294022E0,9.871819536E0
1.103123497E0,-8.379705995E-2,5.027823523E-2,9.880870819E0,9.881354057E0
1.108126269E0,-7.422025502E-2,5.746084079E-2,9.876082420E0,9.876528457E0
1.113100734E0,-8.379705995E-2,4.788403213E-2,9.888052940E0,9.888523943E0
1.118104737E0,-9.097966552E-2,5.027823523E-2,9.868899345E0,9.869446767E0
1.123112433E0,-8.140286058E-2,5.267243832E-2,9.878476143E0,9.878951954E0
1.128116744E0,-7.661445439E-2,4.788403213E-2,9.878476143E0,9.878889288E0
1.133120517E0,-8.619125932E-2,5.027823523E-2,9.888052940E0,9.888556406E0
1.138123904E0,-8.379705995E-2,6.224924326E-2,9.883264542E0,9.883815807E0
1.143101676E0,-7.900865376E-2,5.506663769E-2,9.883264542E0,9.883733743E0
1.148104527E0,-7.182604820E-2,5.267243832E-2,9.885659218E0,9.886060466E0
1.153109376E0,-7.422025502E-2,5.267243832E-2,9.876082420E0,9.876501760E0
1.158114610E0,-7.661445439E-2,5.267243832E-2,9.873687744E0,9.874125472E0
1.163119844E0,-8.140286058E-2,5.267243832E-2,9.883264542E0,9.883740123E0
1.168124540E0,-7.661445439E-2,5.027823523E-2,9.883264542E0,9.883689376E0
1.173098004E0,-8.140286058E-2,4.788403213E-2,9.880870819E0,9.881322151E0
1.178102700E0,-9.337386489E-2,5.267243832E-2,9.885659218E0,9.886240501E0
1.183109781E0,-8.379705995E-2,4.309562966E-2,9.885659218E0,9.886108302E0
1.188113168E0,-8.140286058E-2,5.267243832E-2,9.883264542E0,9.883740123E0
1.193117479E0,-9.337386489E-2,5.267243832E-2,9.876082420E0,9.876664267E0
1.198123021E0,-7.900865376E-2,5.506663769E-2,9.878476143E0,9.878945572E0
1.203129794E0,-8.379705995E-2,5.027823523E-2,9.883264542E0,9.883747662E0
1.208102335E0,-7.661445439E-2,5.506663769E-2,9.880870819E0,9.881321281E0
1.213106031E0,-8.858546615E-2,5.506663769E-2,9.876082420E0,9.876633216E0
1.218110419E0,-7.182604820E-2,5.746084079E-2,9.888052940E0,9.888480757E0
1.223119268E0,-9.097966552E-2,4.309562966E-2,9.883264542E0,9.883777240E0
1.228122040E0,-8.379705995E-2,5.267243832E-2,9.880870819E0,9.881366529E0
1.233125814E0,-7.661445439E-2,4.548983276E-2,9.873687744E0,9.874089769E0
1.238100201E0,-8.858546615E-2,5.027823523E-2,9.883264542E0,9.883789419E0
1.243106743E0,-7.661445439E-2,5.027823523E-2,9.883264542E0,9.883689376E0
1.248110670E0,-8.379705995E-2,4.309562966E-2,9.871294022E0,9.871743759E0
1.253115673E0,-8.619125932E-2,5.985504389E-2,9.878476143E0,9.879033478E0
1.258120830E0,-7.900865376E-2,5.985504389E-2,9.880870819E0,9.881367979E0
1.263127602E0,-8.858546615E-2,4.788403213E-2,9.892841339E0,9.893353831E0
1.268099991E0,-8.619125932E-2,4.788403213E-2,9.880870819E0,9.881362758E0
1.273103994E0,-7.661445439E-2,5.027823523E-2,9.883264542E0,9.883689376E0
1.278109458E0,-8.619125932E-2,5.746084079E-2,9.871294022E0,9.871837536E0
1.283114462E0,-9.337386489E-2,5.746084079E-2,9.878476143E0,9.879084539E0
1.288118465E0,-8.858546615E-2,5.027823523E-2,9.873687744E0,9.874213131E0
1.293123084E0,-7.661445439E-2,5.985504389E-2,9.871294022E0,9.871772792E0
1.298128318E0,-1.005564705E-1,5.746084079E-2,9.897629738E0,9.898307319E0
1.303106783E0,-8.379705995E-2,5.506663769E-2,9.880870819E0,9.881379581E0
1.308108247E0,-6.943184882E-2,5.027823523E-2,9.878476143E0,9.878848090E0
1.313112327E0,-8.140286058E-2,5.985504389E-2,9.880870819E0,9.881387412E0
1.318117793E0,-8.379705995E-2,5.027823523E-2,9.876082420E0,9.876565892E0
1.323123642E0,-9.097966552E-2,5.267243832E-2,9.885659218E0,9.886218178E0
1.328127953E0,-8.379705995E-2,5.027823523E-2,9.883264542E0,9.883747662E0
1.333101188E0,-8.379705995E-2,5.267243832E-2,9.880870819E0,9.881366529E0
1.338106114E0,-6.943184882E-2,5.267243832E-2,9.878476143E0,9.878860566E0
1.343113809E0,-8.619125932E-2,5.027823523E-2,9.878476143E0,9.878980096E0
1.348117197E0,-8.140286058E-2,5.267243832E-2,9.883264542E0,9.883740123E0
1.353121278E0,-8.379705995E-2,6.224924326E-2,9.885659218E0,9.886210350E0
1.358125204E0,-9.337386489E-2,5.746084079E-2,9.878476143E0,9.879084539E0
1.363102437E0,-7.661445439E-2,5.506663769E-2,9.871294022E0,9.871744920E0
1.368106134E0,-8.379705995E-2,4.788403213E-2,9.873687744E0,9.874159432E0
1.373111368E0,-8.140286058E-2,5.267243832E-2,9.883264542E0,9.883740123E0
1.378115678E0,-8.379705995E-2,4.548983276E-2,9.883264542E0,9.883724464E0
1.383121527E0,-8.140286058E-2,5.746084079E-2,9.878476143E0,9.878978646E0
1.388125916E0,-8.619125932E-2,5.027823523E-2,9.876082420E0,9.876586496E0
1.393099996E0,-8.858546615E-2,5.027823523E-2,9.878476143E0,9.879001275E0
1.398103691E0,-7.661445439E-2,5.506663769E-2,9.871294022E0,9.871744920E0
1.403112311E0,-8.379705995E-2,5.985504389E-2,9.878476143E0,9.879012880E0
1.408114775E0,-8.619125932E-2,4.548983276E-2,9.871294022E0,9.871775115E0
1.413119471E0,-7.422025502E-2,5.027823523E-2,9.878476143E0,9.878882905E0
1.418122858E0,-8.379705995E-2,4.788403213E-2,9.871294022E0,9.871765824E0
1.423130862E0,-7.182604820E-2,5.746084079E-2,9.890447617E0,9.890875330E0
1.428102481E0,-8.379705995E-2,5.267243832E-2,9.880870819E0,9.881366529E0
1.433108099E0,-8.619125932E-2,4.788403213E-2,9.883264542E0,9.883756361E0
1.438111180E0,-8.619125932E-2,5.027823523E-2,9.878476143E0,9.878980096E0
1.443119414E0,-8.619125932E-2,5.985504389E-2,9.885659218E0,9.886216148E0
1.448123109E0,-8.619125932E-2,5.027823523E-2,9.888052940E0,9.888556406E0
1.453127421E0,-7.900865376E-2,5.267243832E-2,9.890447617E0,9.890903437E0
1.458101347E0,-8.140286058E-2,5.267243832E-2,9.883264542E0,9.883740123E0
1.463109657E0,-8.619125932E-2,5.506663769E-2,9.883264542E0,9.883793769E0
1.468113276E0,-8.858546615E-2,4.788403213E-2,9.885659218E0,9.886172082E0
1.473115511E0,-8.140286058E-2,4.788403213E-2,9.876082420E0,9.876533971E0
1.478120668E0,-8.619125932E-2,5.746084079E-2,9.876082420E0,9.876625672E0
1.483130209E0,-7.661445439E-2,4.788403213E-2,9.892841339E0,9.893253884E0
1.488100982E0,-8.379705995E-2,5.506663769E-2,9.883264542E0,9.883773180E0
1.493105293E0,-7.182604820E-2,4.788403213E-2,9.888052940E0,9.888429745E0
1.498110834E0,-7.900865376E-2,5.027823523E-2,9.876082420E0,9.876526426E0
1.503118837E0,-8.379705995E-2,4.309562966E-2,9.878476143E0,9.878925553E0
1.508119534E0,-8.140286058E-2,5.506663769E-2,9.883264542E0,9.883753172E0
1.513124768E0,-7.900865376E-2,4.548983276E-2,9.878476143E0,9.878896831E0
1.518098617E0,-7.900865376E-2,4.548983276E-2,9.878476143E0,9.878896831E0
1.523105390E0,-8.379705995E-2,5.746084079E-2,9.878476143E0,9.878998664E0
1.528110239E0,-8.619125932E-2,5.746084079E-2,9.876082420E0,9.876625672E0
1.533113934E0,-7.900865376E-2,4.788403213E-2,9.890447617E0,9.890879097E0
1.538119861E0,-8.140286058E-2,5.027823523E-2,9.876082420E0,9.876545869E0
1.543126865E0,-9.097966552E-2,5.027823523E-2,9.885659218E0,9.886205712E0
1.548098637E0,-7.900865376E-2,6.224924326E-2,9.888052940E0,9.888564521E0
1.553103178E0,-7.182604820E-2,6.943184882E-2,9.868899345E0,9.869404949E0
1.558108105E0,-8.619125932E-2,5.506663769E-2,9.876082420E0,9.876612033E0
1.563115185E0,-8.619125932E-2,4.070143029E-2,9.878476143E0,9.878935998E0
1.568118881E0,-7.182604820E-2,5.027823523E-2,9.880870819E0,9.881259789E0
1.573122577E0,-7.422025502E-2,5.746084079E-2,9.873687744E0,9.874133889E0
1.578126580E0,-8.858546615E-2,4.788403213E-2,9.873687744E0,9.874201230E0
1.583104737E0,-7.900865376E-2,5.027823523E-2,9.876082420E0,9.876526426E0
1.588107509E0,-8.379705995E-2,4.548983276E-2,9.880870819E0,9.881330852E0
1.593111205E0,-8.858546615E-2,5.027823523E-2,9.888052940E0,9.888577564E0
