"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.914869290E-1,-5.567555875E-2,9.867634624E-3,-6.368131638E-1,6.393184993E-1
9.014664000E-1,-2.743393555E-2,5.391105078E-3,-6.176586151E-1,6.182910720E-1
9.114753340E-1,7.761154324E-3,-2.341426723E-2,-8.187694550E-1,8.191409426E-1
9.214867290E-1,-1.668675058E-2,-1.736408100E-3,-7.613077164E-1,7.614925487E-1
9.314642780E-1,-2.901084721E-2,1.055711322E-2,-5.745582581E-1,5.753870643E-1
9.414747510E-1,-3.200468794E-2,1.299835183E-2,-6.990547180E-1,6.999076768E-1
9.514839150E-1,-1.811793447E-2,-1.337833703E-2,-8.570709229E-1,8.573667863E-1
9.614651570E-1,-4.505680501E-2,8.537193760E-3,-6.751098633E-1,6.766655946E-1
9.714726290E-1,-5.516865477E-2,1.835158095E-2,-6.535587311E-1,6.561397534E-1
9.814846390E-1,-3.900187835E-2,-1.181058586E-3,-9.169206619E-1,9.177505335E-1
9.914611890E-1,-5.376530439E-2,3.542782739E-3,-8.786115646E-1,8.802622000E-1
1.001473507E0,-5.426540598E-2,1.314254105E-2,-5.960950851E-1,5.987042769E-1
1.011482133E0,-6.421414018E-2,1.065557636E-2,-7.876300812E-1,7.903152168E-1
1.021492375E0,-4.297609255E-2,7.908789441E-3,-9.624080658E-1,9.633995945E-1
1.031469000E0,-5.748612434E-2,1.996995322E-2,-6.176414490E-1,6.206322688E-1
1.041482242E0,-6.239579991E-2,1.514729764E-2,-5.529975891E-1,5.567126818E-1
1.051490561E0,-3.380008042E-2,5.341085605E-3,-8.594551086E-1,8.601360685E-1
1.061471724E0,-4.845146462E-2,-2.052132040E-3,-7.684755325E-1,7.700041557E-1
1.071479735E0,-6.296223402E-2,1.727920957E-2,-5.386314392E-1,5.425740883E-1
1.081490516E0,-5.844425038E-2,-6.769781932E-3,-6.367940903E-1,6.395062734E-1
1.091467218E0,-5.378448218E-2,-3.547512740E-2,-8.522710800E-1,8.547030180E-1
1.101479767E0,-5.873377621E-2,-2.348668501E-2,-8.331165314E-1,8.355144737E-1
1.111487162E0,-7.788199931E-2,1.734877005E-2,-6.942529678E-1,6.988231314E-1
1.121468712E0,-6.594190001E-2,2.689793333E-2,-8.426933289E-1,8.456972741E-1
1.131476107E0,-5.882780254E-2,7.505044341E-3,-1.024652481E0,1.026367255E0
1.141489963E0,-7.549154013E-2,2.434635907E-2,-8.307218552E-1,8.345001609E-1
1.151465128E0,-7.064911723E-2,2.698110230E-2,-7.038297653E-1,7.078810749E-1
1.161477447E0,-3.487229720E-2,2.788361162E-3,-9.552202225E-1,9.558606203E-1
1.171484842E0,-2.307908423E-2,9.836267680E-3,-9.025478363E-1,9.028964465E-1
1.181465083E0,-5.194143206E-2,3.166819364E-2,-5.721473694E-1,5.753724004E-1
1.191474940E0,-4.033404589E-2,-1.629372686E-2,-6.870679855E-1,6.884437069E-1
1.201484181E0,-2.398853190E-2,-1.897296123E-2,-7.660760880E-1,7.666863736E-1
1.211462039E0,-7.198265195E-2,1.444935892E-2,-7.756528854E-1,7.791198142E-1
1.221475356E0,-5.320963264E-2,2.414972708E-2,-6.870651245E-1,6.895454732E-1
1.231483290E0,-6.527195871E-2,-9.418778121E-3,-8.402938843E-1,8.428777811E-1
1.241494071E0,-4.864379019E-2,-9.592847899E-3,-9.695806503E-1,9.708475053E-1
1.251471081E0,-7.495994866E-2,-2.263300121E-3,-7.229785919E-1,7.268577308E-1
1.261484246E0,-7.263881713E-2,-6.990065798E-3,-8.187456131E-1,8.219912638E-1
1.271491641E0,-2.254958265E-2,-2.863002382E-2,-1.000704765E0,1.001368159E0
1.281472959E0,-2.973770909E-2,-1.392812654E-2,-7.684659958E-1,7.691672840E-1
1.291480355E0,-2.771486342E-2,5.433448590E-3,-7.157926559E-1,7.163496090E-1
1.301491749E0,-1.636021398E-2,-6.486047059E-3,-7.660684586E-1,7.662705845E-1
1.311469529E0,-2.145317197E-2,-1.376321726E-2,-8.450756073E-1,8.454599025E-1
1.321481848E0,-3.388761729E-2,2.201764658E-2,-7.253646851E-1,7.264895551E-1
1.331488012E0,-6.056471169E-2,2.195711806E-2,-7.109985352E-1,7.139111404E-1
1.341468408E0,-3.236385435E-2,-9.469836950E-3,-9.528112411E-1,9.534077607E-1
1.351478496E0,-5.902146176E-2,1.729652286E-5,-9.384450912E-1,9.402992729E-1
1.361489275E0,-1.117366552E-1,1.930804364E-2,-8.498592377E-1,8.573905787E-1
1.371466286E0,-1.093605906E-1,-2.608779445E-2,-8.642244339E-1,8.715068468E-1
1.381476681E0,-8.987620473E-2,-4.254642129E-2,-8.211288452E-1,8.271278683E-1
1.391486230E0,-2.528433688E-2,1.031907834E-2,-7.086019516E-1,7.091279905E-1
1.401467472E0,-3.222491592E-2,3.680600226E-2,-7.397260666E-1,7.413418784E-1
1.411476790E0,1.057218760E-3,5.721199326E-3,-7.828216553E-1,7.828432754E-1
1.421487262E0,-3.735235706E-2,1.277006790E-2,-6.918411255E-1,6.929663889E-1
1.431465042E0,-3.750121966E-2,5.802959949E-2,-5.841035843E-1,5.881758012E-1
1.441477052E0,-2.583902888E-2,3.341667354E-2,-8.307056427E-1,8.317789336E-1
1.451483602E0,-3.329911456E-2,1.869429089E-2,-9.001369476E-1,9.009466311E-1
1.461464844E0,-8.615484834E-2,1.374014560E-2,-7.828197479E-1,7.876663045E-1
1.471473084E0,-8.145102859E-2,1.376378816E-2,-7.516956329E-1,7.562208913E-1
1.481484249E0,-5.522169545E-2,-1.243226416E-2,-9.408369064E-1,9.425381060E-1
1.491461182E0,-5.502930656E-2,-4.107118398E-2,-8.235216141E-1,8.263794017E-1
1.501472578E0,-8.599634469E-2,1.141035184E-2,-6.583223343E-1,6.640134511E-1
1.511481743E0,-5.493965745E-2,-5.328413099E-4,-7.229661942E-1,7.250508725E-1
1.521494676E0,-5.014171079E-2,-7.765367627E-3,-1.053365707E0,1.054587031E0
1.531470149E0,-5.496780574E-2,1.406737696E-2,-8.019742966E-1,8.039789320E-1
1.541481237E0,-8.331097662E-2,5.247917771E-2,-6.248044968E-1,6.325151714E-1
1.551490785E0,-1.862708293E-2,1.418275665E-2,-7.995815277E-1,7.999242078E-1
1.561471411E0,-3.541275859E-2,-3.385562450E-4,-1.005482674E0,1.006106150E0
1.571479345E0,-6.651551276E-2,1.187574305E-2,-6.942367554E-1,6.975170387E-1
1.581490432E0,-6.415141374E-2,-2.367112972E-2,-6.655054092E-1,6.690091001E-1
1.591469597E0,-3.079042211E-2,-2.864442021E-2,-9.001359940E-1,9.011178394E-1
1.601479684E0,-6.679693609E-2,-1.219653338E-2,-8.857707977E-1,8.883695696E-1
1.611486849E0,-8.109577745E-2,2.615305968E-2,-5.817079544E-1,5.879155142E-1
1.621468322E0,-5.205529928E-2,9.417492896E-3,-6.679000854E-1,6.699917667E-1
1.631477639E0,-5.449452996E-2,-4.854816943E-4,-9.719648361E-1,9.734914135E-1
1.641489266E0,-7.329390943E-2,-1.710795239E-2,-7.397270203E-1,7.435460602E-1
1.651465354E0,-6.109231710E-2,-1.916574873E-2,-6.152286530E-1,6.185514470E-1
1.661477595E0,-3.476179391E-2,-1.158466376E-2,-9.145040512E-1,9.152378087E-1
1.671485067E0,-3.971327469E-2,-4.323730245E-3,-1.060549736E0,1.061301833E0
1.681466000E0,-6.851534545E-2,-8.811453357E-3,-6.224098206E-1,6.262315698E-1
